Avg. Area Income;Avg. Area House Age;Avg. Area Number of Rooms;Avg. Area Number of Bedrooms;Area Population;Price;Address
7954545857431670;5682861321615580;7009188142792230;4.09;23086800502686400;10590335578701200;208 Michael Ferry Apt. 674 Laurabury  NE 37010-5101
7924864245482560;60028998082752400;6730821019094910;3.09;4017307217364480;150589091484695;188 Johnson Views Suite 079 Lake Kathleen   CA 48958
61287067178656700;5865889840310000;8512727430375090;5.13;3688215939970450;10589879878760800;9127 Elizabeth Stravenue Danieltown   WI 06482-3489
6334524004622790;71882360945186400;5586728664827650;3.26;3431024283090700;12606168066294400;USS Barnett FPO AP 44820  
59982197225708000;5040554523106280;7839387785120480;4.23;26354109472103100;6309434893385400;USNS Raymond FPO AE 09386  
801757541594853;49884077575337100;6104512439428870;4.04;26748428424689700;10681380743935300;06039 Jennifer Islands Apt. 443 Tracyport   KS 16077
6469846342788770;6025335906887150;8147759585023430;3.41;6082824908540710;15020558173744000;4759 Daniel Shoals Suite 442 Nguyenburgh   CO 20247
7839433927753080;69897797477182800;6620477995185020;2.42;36516358972493800;15739365644777200;972 Joyce Viaduct Lake William   TN 17778-6483
5992766081334960;536212556960358;63931209805509000;2.3;2938739600281580;7988695328331630;USS Gilbert FPO AA 20957  
8188592718409560;4423671789897870;8167688003472350;6.1;4014996574921330;15451548126419600;Unit 9446 Box 0958 DPO AE 97025  
8052747208292280;809351268063935;5042746799645980;4.1;4722435984022190;1707045722158050;6368 John Motorway Suite 700 Janetbury   NM 26854
5059369549704280;4496512793097030;7467627404008010;4.49;34343991885578800;6637323968963270;911 Castillo Park Apt. 717 Davisborough   PW 78603
39033809236982300;7671755372854420;7250029317273490;3.1;3922036146737240;10428140978200900;209 Natasha Stream Suite 961 Huffmanland   NE 52457
731636634410467;6919534825456550;59931879009455600;2.27;32326123139488000;12913315184858200;829 Welch Track Apt. 992 North John   AR 26532-5136
693913801843616;5344776176735720;8406417714534250;4.37;35521294033173200;14028182101658500;PSC 5330  Box 4420 APO AP 08302  
7309186674582320;5443156466535470;8517512711137970;4.01;23929524053267900;13066746599511900;2278 Shannon View North Carriemouth   NM 84617
7970696305765740;5067889591058970;8219771123286250;3.12;3971781357630950;15567866001947700;064 Hayley Unions Nicholsborough   HI 44161-1887
6192907701808920;4788550241805880;50970095543775600;4.3;2459590149782290;5284852467305960;5498 Rachel Locks New Gregoryshire   PW 54755
6350819429942990;5947165139552470;7187773835329720;5.12;35719653052030800;10194259367578300;Unit 7424 Box 2786 DPO AE 71255  
6208527640340480;5739410843630570;709180810424997;5.49;44922106702293000;10305914292116000;19696 Benjamin Cape Stephentown   ME 36952-4733
8629499908871050;6627456939781730;8011897853150560;4.07;4756077533629520;2146925339888660;030 Larry Park Suite 665 Thomashaven   HI 87941-5197
6083508997885390;5551221591990320;6517175038094770;2.1;4557474166225790;9292475995364;USNS Brown FPO AP 85833  
6449065026675500;4210322870054840;5478087730769140;4.31;4035896010561750;7188872315009270;95198 Ortiz Key Port Sara   TN 24541-2855
6069735153944830;61704840908384900;7150536572335950;6.34;2814096708772470;7439998191601970;9003 Jay Plains Suite 838 Lake Elizabeth   IN 90622-0804
5974885548697420;53393398807459;77486816056065900;4.23;27809986543758800;8957371333835070;24282 Paul Valley West Perry   MI 03169-5806
5697447653879640;8287562193759000;73128799714630000;4.33;4069486951302230;14539745059508700;61938 Brady Falls Lewisfort   DE 61227
8217362607584600;4018524684942810;6992698756791840;2.03;3885391806648160;1125692507295280;3599 Ramirez Springs Jacksonhaven   AZ 72798
6462688097813540;5443359590192100;698875353866204;4.0;27784742280185800;9754294927929220;073 Christopher Falls Suite 882 West Cynthia   MA 89075-2814
904990574513475;63843589207152000;4242191301572630;3.04;3397016499037120;1240763765571470;6531 Chase Prairie Apt. 245 Susanshire   MN 22365
5932379209970030;69778279401788300;8273697077776590;4.07;3752065773244970;15770177600015500;17124 Johnson Squares Lake Robertfurt   AL 61811-3832
7781152203457440;531446021480662;6686686133004710;3.24;33754737804984600;12468301884286200;1359 Mitchell Vista Courtneyfort   NY 93065-7224
6865260921090650;6124342100310330;6290820166996650;4.42;39355625729470200;1170720893654290;4343 Joshua Lake Suite 096 Pierceview   NV 62614-9110
5504135158333910;7127128552732300;8591923294114;5.36;30122473483557900;1071279210244540;0057 Jacob Coves Apt. 932 Lake Emily   VA 39465-6041
50218708463000700;6118808130610340;7333554072097730;6.29;16810783311257900;5343051323349290;039 Jordan Pike Emilyville   ID 27442
55909322295153500;5419562910682700;9289854372258820;6.0;22355235406669100;9363689634048600;66338 Novak Curve Suite 628 Taylorborough   OK 87142-6766
7437281020915510;5500128572841650;6593045603910360;2.07;3939515118232910;11991938313295100;7167 Angela Park Suite 013 Morrishaven   NH 66937-4811
7866790459764730;5470652206754390;7780836692853290;4.1;27637656548218900;1233220009477810;34964 Sara Fields Apt. 584 Port Raymondville   MO 63585
7869951510291030;56527836365363000;6756453856250770;3.01;2283660756949130;10811501254838000;7585 Lynn Loop East Judy   WV 73336
5312818544891440;5180664124823800;54269028586106100;2.39;32947711955068900;5247127660674520;Unit 1388 Box 9350 DPO AP 70848  
17796631189543300;49495570055571100;6713905444702080;2.5;47162183643191400;30235583597895500;9932 Eric Circles Lake Martha   WY 34611-6127
